image_id,category_id,bbox,score
0,2,"[309.0, 330.0, 85.0, 88.0]",0.714007318019866
0,1,"[1415.0, 399.0, 184.0, 237.0]",0.600724697113037
0,18,"[1072.0, 0.0, 478.0, 345.0]",0.5756093263626091
0,7,"[1047.0, 185.0, 482.0, 234.0]",0.5685594677925111
0,7,"[1456.0, 324.0, 87.0, 87.0]",0.42894852161407404
0,1,"[1033.0, 365.0, 556.0, 330.0]",0.38051879405975303
0,5,"[1338.0, 744.0, 262.0, 167.0]",0.34271857142448403
0,5,"[333.0, 463.0, 63.0, 74.0]",0.24600161612033802
0,5,"[944.0, 677.0, 766.0, 403.0]",0.22514267265796603
0,7,"[1091.0, 166.0, 166.0, 230.0]",0.21882072091102603
0,18,"[275.0, 1.0, 1208.0, 379.0]",0.20559768378734503
0,5,"[919.0, 982.0, 322.0, 98.0]",0.203146874904632
826,35,"[961.0, 412.0, 533.0, 289.0]",0.7858228683471681
990,17,"[635.0, 524.0, 315.0, 490.0]",0.847747147083282
990,24,"[0.0, 656.0, 276.0, 424.0]",0.7741814851760861
990,7,"[1669.0, 320.0, 233.0, 264.0]",0.6925699710845941
990,2,"[1570.0, 579.0, 350.0, 501.0]",0.41310119628906206
990,38,"[368.0, 8.0, 1552.0, 353.0]",0.31830406188964805
990,7,"[631.0, 291.0, 1273.0, 442.0]",0.28108525276184004
131,1,"[38.0, 0.0, 1415.0, 386.0]",0.7740894556045531
131,5,"[36.0, 498.0, 687.0, 582.0]",0.368236094713211
131,31,"[24.0, 30.0, 1836.0, 1020.0]",0.31567999720573403
131,1,"[59.0, 0.0, 1735.0, 790.0]",0.257264673709869
131,5,"[44.0, 302.0, 1674.0, 737.0]",0.213434994220733
131,1,"[16.0, 3.0, 572.0, 303.0]",0.207291170954704
722,7,"[1094.0, 273.0, 272.0, 80.0]",0.664339482784271
722,5,"[435.0, 552.0, 766.0, 166.0]",0.561972081661224
722,7,"[519.0, 208.0, 72.0, 83.0]",0.5604699254035951
722,5,"[1032.0, 562.0, 497.0, 168.0]",0.523462355136871
722,5,"[426.0, 552.0, 1049.0, 247.0]",0.50031840801239
722,7,"[1296.0, 264.0, 81.0, 89.0]",0.34586352109909
722,5,"[439.0, 543.0, 164.0, 153.0]",0.34460055828094405
722,7,"[514.0, 198.0, 874.0, 165.0]",0.339021980762481
722,18,"[138.0, 152.0, 448.0, 245.0]",0.31244358420372004
722,2,"[1014.0, 328.0, 182.0, 176.0]",0.308084458112716
722,1,"[470.0, 300.0, 185.0, 171.0]",0.301856040954589
722,1,"[414.0, 334.0, 1047.0, 364.0]",0.272266685962677
722,2,"[1016.0, 323.0, 447.0, 222.0]",0.24849146604537903
722,1,"[253.0, 266.0, 1163.0, 308.0]",0.24229215085506403
722,1,"[447.0, 295.0, 637.0, 200.0]",0.23861214518547003
315,18,"[796.0, 0.0, 410.0, 372.0]",0.6799789667129511
315,5,"[525.0, 585.0, 179.0, 137.0]",0.615113854408264
315,1,"[1093.0, 403.0, 450.0, 228.0]",0.598959624767303
315,5,"[1087.0, 609.0, 443.0, 246.0]",0.507670760154724
315,5,"[540.0, 594.0, 945.0, 344.0]",0.47976049780845603
315,1,"[507.0, 360.0, 982.0, 350.0]",0.457620441913604
315,18,"[132.0, 16.0, 1161.0, 348.0]",0.451132535934448
315,5,"[1086.0, 693.0, 159.0, 168.0]",0.42477262020111
315,8,"[1115.0, 353.0, 112.0, 87.0]",0.31358811259269703
315,5,"[1441.0, 601.0, 84.0, 109.0]",0.306179523468017
315,1,"[531.0, 336.0, 178.0, 178.0]",0.280901819467544
315,5,"[471.0, 531.0, 740.0, 214.0]",0.279108196496963
315,7,"[596.0, 278.0, 73.0, 82.0]",0.274402320384979
315,7,"[528.0, 280.0, 739.0, 146.0]",0.257458627223968
315,7,"[452.0, 280.0, 212.0, 99.0]",0.252478212118148
315,18,"[35.0, 4.0, 603.0, 236.0]",0.24156135320663402
315,7,"[1126.0, 356.0, 411.0, 102.0]",0.22502970695495603
17,8,"[568.0, 215.0, 181.0, 171.0]",0.652019262313842
17,1,"[597.0, 395.0, 407.0, 358.0]",0.45055210590362504
17,18,"[675.0, 0.0, 450.0, 322.0]",0.42420995235443104
17,7,"[605.0, 251.0, 412.0, 332.0]",0.404098182916641
17,5,"[0.0, 573.0, 69.0, 93.0]",0.34885928034782404
17,1,"[0.0, 298.0, 985.0, 485.0]",0.34390288591384804
17,5,"[603.0, 957.0, 232.0, 123.0]",0.32614719867706304
17,18,"[103.0, 0.0, 1137.0, 382.0]",0.279221981763839
17,18,"[25.0, 34.0, 432.0, 279.0]",0.27828329801559404
17,5,"[897.0, 568.0, 186.0, 113.0]",0.25264289975166304
17,2,"[0.0, 421.0, 64.0, 87.0]",0.20400890707969602
511,31,"[51.0, 7.0, 527.0, 825.0]",0.757173120975494
511,2,"[1073.0, 537.0, 71.0, 77.0]",0.30519545078277505
511,31,"[283.0, 329.0, 310.0, 477.0]",0.28335595130920405
532,1,"[706.0, 543.0, 398.0, 397.0]",0.8250956535339351
532,31,"[63.0, 11.0, 585.0, 815.0]",0.6777245998382561
532,7,"[815.0, 357.0, 178.0, 190.0]",0.5416433215141291
532,7,"[804.0, 368.0, 353.0, 219.0]",0.324157536029815
532,31,"[273.0, 413.0, 363.0, 385.0]",0.267875134944915
532,2,"[1076.0, 541.0, 98.0, 104.0]",0.26778548955917303
885,31,"[336.0, 0.0, 1529.0, 1062.0]",0.9752610921859741
885,7,"[656.0, 59.0, 142.0, 184.0]",0.9505841135978691
885,1,"[621.0, 233.0, 285.0, 362.0]",0.7937487363815301
885,5,"[642.0, 717.0, 345.0, 296.0]",0.6824564933776851
262,18,"[595.0, 0.0, 466.0, 336.0]",0.6534739732742311
262,8,"[865.0, 309.0, 86.0, 99.0]",0.5870012044906611
262,5,"[705.0, 573.0, 618.0, 258.0]",0.5545271039009091
262,18,"[54.0, 14.0, 1100.0, 346.0]",0.534586191177368
262,5,"[562.0, 512.0, 1111.0, 326.0]",0.5283238291740411
262,5,"[1591.0, 569.0, 77.0, 114.0]",0.39403069019317605
262,5,"[1115.0, 564.0, 559.0, 145.0]",0.389932245016098
262,18,"[12.0, 24.0, 382.0, 268.0]",0.38362395763397206
262,7,"[556.0, 278.0, 767.0, 137.0]",0.27016425132751404
262,2,"[1593.0, 387.0, 100.0, 124.0]",0.267951130867004
262,5,"[851.0, 655.0, 131.0, 169.0]",0.25054547190666204
262,7,"[509.0, 314.0, 448.0, 88.0]",0.24921999871730802
262,1,"[626.0, 377.0, 734.0, 226.0]",0.22950682044029203
262,5,"[516.0, 497.0, 262.0, 162.0]",0.22569565474987002
262,1,"[624.0, 382.0, 1058.0, 320.0]",0.22454649209976102
262,1,"[503.0, 357.0, 85.0, 83.0]",0.204334512352943
431,18,"[698.0, 111.0, 434.0, 337.0]",0.7409173250198361
431,5,"[462.0, 645.0, 407.0, 304.0]",0.5123051404953001
431,18,"[102.0, 111.0, 1056.0, 359.0]",0.49790135025978005
431,5,"[1412.0, 617.0, 85.0, 74.0]",0.481106221675872
431,1,"[376.0, 449.0, 543.0, 173.0]",0.456811696290969
431,7,"[456.0, 368.0, 335.0, 99.0]",0.43642693758010803
431,2,"[1432.0, 500.0, 68.0, 84.0]",0.41053140163421603
431,5,"[425.0, 623.0, 1060.0, 345.0]",0.31515398621559104
431,5,"[331.0, 594.0, 241.0, 146.0]",0.271771490573883
431,18,"[0.0, 90.0, 501.0, 294.0]",0.24378499388694702
431,5,"[773.0, 599.0, 707.0, 189.0]",0.24357941746711703
431,1,"[1432.0, 500.0, 68.0, 84.0]",0.233975321054458
431,7,"[456.0, 386.0, 919.0, 135.0]",0.23314556479454002
431,1,"[306.0, 457.0, 269.0, 120.0]",0.227252393960952
431,5,"[713.0, 757.0, 106.0, 172.0]",0.22008191049098902
431,7,"[1453.0, 450.0, 51.0, 49.0]",0.20437571406364402
431,1,"[310.0, 454.0, 68.0, 92.0]",0.20332434773445102
984,17,"[456.0, 253.0, 776.0, 715.0]",0.9583495259284971
984,38,"[564.0, 2.0, 1239.0, 304.0]",0.262677282094955
984,38,"[628.0, 0.0, 864.0, 182.0]",0.208110153675079
356,18,"[254.0, 49.0, 455.0, 357.0]",0.6042324900627131
356,5,"[1330.0, 598.0, 429.0, 208.0]",0.45888015627861006
356,5,"[634.0, 594.0, 864.0, 197.0]",0.37317493557929904
356,1,"[1650.0, 463.0, 94.0, 91.0]",0.36833238601684504
356,5,"[628.0, 604.0, 1084.0, 329.0]",0.360786736011505
356,1,"[1324.0, 471.0, 442.0, 198.0]",0.357443422079086
356,5,"[679.0, 604.0, 92.0, 91.0]",0.352641254663467
356,2,"[671.0, 448.0, 77.0, 109.0]",0.343323647975921
356,2,"[670.0, 431.0, 148.0, 140.0]",0.34152695536613403
356,5,"[1638.0, 580.0, 109.0, 73.0]",0.331954509019851
356,5,"[44.0, 524.0, 58.0, 66.0]",0.32907670736312805
356,5,"[6.0, 536.0, 819.0, 175.0]",0.308210968971252
356,8,"[1355.0, 423.0, 86.0, 70.0]",0.294004470109939
356,5,"[1323.0, 639.0, 166.0, 161.0]",0.25382912158966003
356,1,"[646.0, 417.0, 1074.0, 312.0]",0.24599102139472903
356,1,"[1307.0, 472.0, 174.0, 159.0]",0.24215228855609802
356,5,"[668.0, 545.0, 146.0, 149.0]",0.22183045744895902
356,7,"[1361.0, 411.0, 391.0, 76.0]",0.218878805637359
